auction_action,auction_state,current_profit_r,current_signal_auction_action,current_signal_auction_state,current_signal_directional_alignment,current_signal_management_posture,current_signal_reason,current_signal_should_exit,current_signal_stage,current_signal_status,current_signal_trade_action,current_stop_price,current_target_price,directional_alignment,entry_exec_time,entry_intent_time,entry_status,entry_time,equity_ref,executed_entry_price,executed_exit_price,executed_exit_qty,execution_mode,exit_exec_time,exit_intent_time,exit_pnl,exit_reason,exit_rule,exit_status,group_role,instrument_type,last_pnl,last_pnl_value,last_price,last_time,last_update_reason,lifecycle_trade_action,management_posture,management_reason_code,max_price,mfe_profit_r,min_price,observation_snapshot_time,planned_entry_price,quantity,should_exit_signal,signal_id,signal_stage,signal_status,snapshot_index,source,symbol,trade_id,trade_management_mode,trade_management_version,trade_posture,trade_state_frozen_at_exit,trade_type,userid
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,0.0,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,False,ACTIVE,OPEN,CREATE_TRADE,1505.3091338126917,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,0.0,0.0,1497.7,2026-07-20T11:48:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,CREATE_TRADE,STRENGTHEN,AUCTION_CONFIRMED_SIGNAL_CREATED,1497.7,0.0,1497.7,2026-07-20T11:48:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,52,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,0.07885260198726213,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1505.3091338126917,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,0.2,0.2,1497.5,2026-07-20T11:51:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1497.7,0.07885260198726213,1497.5,2026-07-20T11:51:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,53,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,0.9856575248407766,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1505.3091338126917,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,2.5,2.5,1495.2,2026-07-20T11:54:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1497.7,0.9856575248407766,1495.2,2026-07-20T11:54:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,54,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,0.47311561192357277,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1505.3091338126917,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,1.2,1.2,1496.5,2026-07-20T11:57:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1497.7,0.9856575248407766,1495.2,2026-07-20T11:57:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,55,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,-0.3154104079490485,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1505.3091338126917,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,-0.8,-0.8,1498.5,2026-07-20T12:00:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1498.5,0.9856575248407766,1495.2,2026-07-20T12:00:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,56,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,-0.3154104079490485,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1505.3091338126917,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,-0.8,-0.8,1498.5,2026-07-20T12:03:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1498.5,0.9856575248407766,1495.2,2026-07-20T12:03:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,57,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,1.143362728815301,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1498.968188968782,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,2.9,2.9,1494.8,2026-07-20T12:06:00,EXPAND_READY_STAGE_ACTIVE_PROFIT_R_1.14;GROUP_MFE_RATCHET_MFE_1.14R_STOP_-0.50R,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1498.5,1.143362728815301,1494.8,2026-07-20T12:06:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,58,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
LOCAL_CONFIRMED,MATURE_EXTENSION,1.261641631796194,LOCAL_CONFIRMED,MATURE_EXTENSION,ALIGNED,CAUTION,DOWNGRADE:PROTECT:AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED,False,PROTECT,OPEN,TIGHTEN_STOP,1498.968188968782,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,3.2,3.2,1494.5,2026-07-20T12:09:00,PROTECT_GROUP_REFERENCE_STAGE_PROTECT_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_1.26R_STOP_-0.50R,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED,1498.5,1.261641631796194,1494.5,2026-07-20T12:09:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,PROTECT,OPEN,59,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,PROTECT,False,SELL,DR1812
LOCAL_CONFIRMED,MATURE_EXTENSION,2.6415621665732814,LOCAL_CONFIRMED,MATURE_EXTENSION,ALIGNED,CAUTION,HOLD:PROTECT:AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED,False,PROTECT,OPEN,TIGHTEN_STOP,1495.1636220624362,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,6.7,6.7,1491.0,2026-07-20T12:12:00,PROTECT_GROUP_REFERENCE_STAGE_PROTECT_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED,1498.5,2.6415621665732814,1491.0,2026-07-20T12:12:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,PROTECT,OPEN,60,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,PROTECT,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,2.326151758624233,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,PROMOTE:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1495.1636220624362,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,5.9,5.9,1491.8,2026-07-20T12:15:00,EXPAND_READY_STAGE_ACTIVE_PROFIT_R_2.33;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1498.5,2.6415621665732814,1491.0,2026-07-20T12:15:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,61,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,2.247299156636971,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1495.1636220624362,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,5.7,5.7,1492.0,2026-07-20T12:18:00,EXPAND_READY_STAGE_ACTIVE_PROFIT_R_2.25;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1498.5,2.6415621665732814,1491.0,2026-07-20T12:18:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,62,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,1.9318887486879222,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1495.1636220624362,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,4.9,4.9,1492.8,2026-07-20T12:21:00,EXPAND_READY_STAGE_ACTIVE_PROFIT_R_1.93;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1498.5,2.6415621665732814,1491.0,2026-07-20T12:21:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,63,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
LOCAL_CONFIRMED,CONTROLLED_PULLBACK,1.734757243719767,LOCAL_CONFIRMED,CONTROLLED_PULLBACK,ALIGNED,CAUTION,DOWNGRADE:PROTECT:AUCTION_CONFIRMED_CONTROLLED_PULLBACK_ALIGNED,False,PROTECT,OPEN,TIGHTEN_STOP,1495.1636220624362,1492.6272441248723,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,4.4,4.4,1493.3,2026-07-20T12:24:00,PROTECT_GROUP_REFERENCE_STAGE_PROTECT_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_CONTROLLED_PULLBACK_ALIGNED,1498.5,2.6415621665732814,1491.0,2026-07-20T12:24:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,PROTECT,OPEN,64,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,PROTECT,False,SELL,DR1812
LOCAL_CONFIRMED,CONTROLLED_PULLBACK,1.3404942337834562,LOCAL_CONFIRMED,CONTROLLED_PULLBACK,OPPOSITE,CAUTION,DOWNGRADE:WEAKENING:AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,False,WEAKENING,OPEN,TIGHTEN_STOP,1495.1636220624362,1492.6272441248723,OPPOSITE,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,3.4,3.4,1494.3,2026-07-20T12:27:00,PROTECT_GROUP_REFERENCE_STAGE_WEAKENING_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,1498.5,2.6415621665732814,1491.0,2026-07-20T12:27:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,WEAKENING,OPEN,65,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,PROTECT,False,SELL,DR1812
LOCAL_CONFIRMED,CONTROLLED_PULLBACK,1.3010679327898251,LOCAL_CONFIRMED,CONTROLLED_PULLBACK,OPPOSITE,CAUTION,HOLD:WEAKENING:AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,False,WEAKENING,OPEN,TIGHTEN_STOP,1495.1636220624362,1492.6272441248723,OPPOSITE,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,3.3,3.3,1494.4,2026-07-20T12:30:00,PROTECT_GROUP_REFERENCE_STAGE_WEAKENING_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,1498.5,2.6415621665732814,1491.0,2026-07-20T12:30:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,WEAKENING,OPEN,66,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,PROTECT,False,SELL,DR1812
LOCAL_CONFIRMED,CONTROLLED_PULLBACK,0.47311561192357277,LOCAL_CONFIRMED,CONTROLLED_PULLBACK,OPPOSITE,CAUTION,HOLD:WEAKENING:AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,False,WEAKENING,OPEN,TIGHTEN_STOP,1495.1636220624362,1492.6272441248723,OPPOSITE,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,1.2,1.2,1496.5,2026-07-20T12:33:00,PROTECT_GROUP_REFERENCE_STAGE_WEAKENING_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,1498.5,2.6415621665732814,1491.0,2026-07-20T12:33:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,WEAKENING,OPEN,67,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,PROTECT,False,SELL,DR1812
LOCAL_CONFIRMED,CONTROLLED_PULLBACK,0.8279523208662524,LOCAL_CONFIRMED,CONTROLLED_PULLBACK,OPPOSITE,CAUTION,HOLD:WEAKENING:AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,False,WEAKENING,OPEN,TIGHTEN_STOP,1495.1636220624362,1492.6272441248723,OPPOSITE,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,2.1,2.1,1495.6,2026-07-20T12:36:00,PROTECT_GROUP_REFERENCE_STAGE_WEAKENING_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,1498.5,2.6415621665732814,1491.0,2026-07-20T12:36:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,WEAKENING,OPEN,68,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,PROTECT,False,SELL,DR1812
LOCAL_CONFIRMED,CONTROLLED_PULLBACK,-0.6702471168917281,LOCAL_CONFIRMED,CONTROLLED_PULLBACK,OPPOSITE,CAUTION,HOLD:WEAKENING:AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,False,WEAKENING,OPEN,TIGHTEN_STOP,1495.1636220624362,1492.6272441248723,OPPOSITE,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,-1.7,-1.7,1499.4,2026-07-20T12:39:00,PROTECT_GROUP_REFERENCE_STAGE_WEAKENING_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,1499.4,2.6415621665732814,1491.0,2026-07-20T12:39:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,WEAKENING,OPEN,69,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,PROTECT,False,SELL,DR1812
LOCAL_CONFIRMED,CONTROLLED_PULLBACK,0.551968213910835,LOCAL_CONFIRMED,CONTROLLED_PULLBACK,OPPOSITE,CAUTION,HOLD:WEAKENING:AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,False,WEAKENING,OPEN,TIGHTEN_STOP,1495.1636220624362,1492.6272441248723,OPPOSITE,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,REFERENCE,EQ,1.4,1.4,1496.3,2026-07-20T12:42:00,PROTECT_GROUP_REFERENCE_STAGE_WEAKENING_POSTURE_CAUTION;GROUP_MFE_RATCHET_MFE_2.64R_STOP_+1.00R,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_CONTROLLED_PULLBACK_OPPOSITE,1499.4,2.6415621665732814,1491.0,2026-07-20T12:42:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,WEAKENING,OPEN,70,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,PROTECT,False,SELL,DR1812
